../predictions/gectorBERT+gectorbase/heavy_gectorBERT+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.5749102610507233, Corpus score: 0.5636033707627695
../predictions/gectorBERT+gectorbase/longsentence_gectorBERT+gectorbase.txt: Min: 0.2857142857142857, Max: 0.8666666666666667, Avg: 0.5773572184335469, Corpus score: 0.552604957005564
../predictions/gectorBERT+gectorbase/medium_gectorBERT+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.6788415626734376, Corpus score: 0.6679820280939446
../predictions/gectorBERT+gectorbase/light_gectorBERT+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.7612749773338041, Corpus score: 0.7490244322664305
../predictions/gectorBERT+gectorbase/shortsentence_gectorBERT+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.6680742876459412, Corpus score: 0.6775425916365514
../predictions/gector_base/longsentence_gectorbase.txt: Min: 0.2046783625730994, Max: 0.8476190476190476, Avg: 0.4142333195174778, Corpus score: 0.3989588605306919
../predictions/gector_base/light_gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.6619259310379965, Corpus score: 0.6499007159933388
../predictions/gector_base/heavy_gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.2952936458198516, Corpus score: 0.2800873818969607
../predictions/gector_base/medium_gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.4791892560505795, Corpus score: 0.46630749752983086
../predictions/gector_base/shortsentence_gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.4898535337540468, Corpus score: 0.47134744450180693
../predictions/gector+funspell/light_funspell.txt: Min: 0.0, Max: 1.0, Avg: 0.6917034528718681, Corpus score: 0.6829007241228137
../predictions/gector+funspell/heavy_funspell+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.4088949871146943, Corpus score: 0.4044722120972042
../predictions/gector+funspell/longsentence_funspell+gector.txt: Min: 0.29194630872483224, Max: 0.9047619047619048, Avg: 0.5356472140885192, Corpus score: 0.5180701120346947
../predictions/gector+funspell/heavy_funspell.txt: Min: 0.0, Max: 1.0, Avg: 0.33382354972958467, Corpus score: 0.32498813227748397
../predictions/gector+funspell/light_funspell+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.7699600415481134, Corpus score: 0.7645573439126303
../predictions/gector+funspell/shortsentence_funspell.txt: Min: 0.0, Max: 1.0, Avg: 0.500303812264873, Corpus score: 0.4847639706641876
../predictions/gector+funspell/longsentence_funspell.txt: Min: 0.2097902097902098, Max: 0.7476190476190476, Avg: 0.45291846668692853, Corpus score: 0.4364826738045287
../predictions/gector+funspell/medium_funspell.txt: Min: 0.0, Max: 1.0, Avg: 0.48818752239525043, Corpus score: 0.47923626963370575
../predictions/gector+funspell/medium_funspell+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.5893957543037802, Corpus score: 0.5865358843317181
../predictions/gector+funspell/shortsentence_funspell+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.5677827296300286, Corpus score: 0.5680957740714213
../predictions/gector+bart/medium_bart+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.5915666656858076, Corpus score: 0.6001947113494948
../predictions/gector+bart/medium_bart.txt: Min: 0.0, Max: 1.0, Avg: 0.5005393703749537, Corpus score: 0.5059390155594906
../predictions/gector+bart/light_bart+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.7137595344413591, Corpus score: 0.7207168215784966
../predictions/gector+bart/heavy_bart+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.4109832305057775, Corpus score: 0.4115496834902138
../predictions/gector+bart/shortsentence_bart+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.4722777579116007, Corpus score: 0.5153304329811477
../predictions/gector+bart/longsentence_bart.txt: Min: 0.03684210526315789, Max: 0.8089430894308943, Avg: 0.43765559923342895, Corpus score: 0.4173931839469702
../predictions/gector+bart/light_bart.txt: Min: 0.0, Max: 1.0, Avg: 0.6084897982688086, Corpus score: 0.6121416680108713
../predictions/gector+bart/heavy_bart.txt: Min: 0.0, Max: 1.0, Avg: 0.34790855407174587, Corpus score: 0.34788449842506103
../predictions/gector+bart/longsentence_bart+gector.txt: Min: 0.03859649122807018, Max: 0.9024390243902439, Avg: 0.5025904977129435, Corpus score: 0.4817796305613455
../predictions/gector+bart/shortsentence_bart.txt: Min: 0.0, Max: 1.0, Avg: 0.416981844524595, Corpus score: 0.4438530578167397
../predictions/gector_only_RoBERTa/shortsentence_gectorRoBERTa.txt: Min: 0.0, Max: 1.0, Avg: 0.6689117082025421, Corpus score: 0.674207209998967
../predictions/gector_only_RoBERTa/heavy_gectorRoBERTa.txt: Min: 0.0, Max: 1.0, Avg: 0.5534893718100902, Corpus score: 0.5394960828956639
../predictions/gector_only_RoBERTa/medium_gectorRoBERTa.txt: Min: 0.0, Max: 1.0, Avg: 0.6484409155827079, Corpus score: 0.6332310390179746
../predictions/gector_only_RoBERTa/longsentence_gectorRoBERTa.txt: Min: 0.2796352583586626, Max: 0.9142857142857143, Avg: 0.5462595161926688, Corpus score: 0.5188454025898864
../predictions/gector_only_RoBERTa/light_gectorRoBERTa.txt: Min: 0.0, Max: 1.0, Avg: 0.7209821863850848, Corpus score: 0.7057219307926046
../predictions/gectorRoBERTa+gectorbase/medium_gectorRoBERTa+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.7225598100258276, Corpus score: 0.7113266554865613
../predictions/gectorRoBERTa+gectorbase/heavy_gectorRoBERTa+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.6333967028150923, Corpus score: 0.6226380907226831
../predictions/gectorRoBERTa+gectorbase/light_gectorRoBERTa+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.7851529386020003, Corpus score: 0.7735445994494753
../predictions/gectorRoBERTa+gectorbase/shortsentence_gectorRoBERTa+gectorbase.txt: Min: 0.0, Max: 1.0, Avg: 0.7161745040939667, Corpus score: 0.7292117465224112
../predictions/gectorRoBERTa+gectorbase/longsentence_gectorRoBERTa+gectorbase.txt: Min: 0.32978723404255317, Max: 0.9514563106796117, Avg: 0.6187677437261069, Corpus score: 0.5910666570376255
../predictions/gector+norvig/longsentence_norvig.txt: Min: 0.22404371584699453, Max: 0.7566371681415929, Avg: 0.4609171062884507, Corpus score: 0.4476596976054402
../predictions/gector+norvig/shortsentence_norvig+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.5235225290711176, Corpus score: 0.5768643809136229
../predictions/gector+norvig/heavy_norvig+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.43540104320100625, Corpus score: 0.4369456391029563
../predictions/gector+norvig/heavy_norvig.txt: Min: 0.0, Max: 1.0, Avg: 0.31163153484348155, Corpus score: 0.3155149737713344
../predictions/gector+norvig/light_norvig.txt: Min: 0.0, Max: 1.0, Avg: 0.5851939421283774, Corpus score: 0.6062192928086593
../predictions/gector+norvig/medium_norvig.txt: Min: 0.0, Max: 1.0, Avg: 0.4558531345266551, Corpus score: 0.4682368592117795
../predictions/gector+norvig/shortsentence_norvig.txt: Min: 0.0, Max: 1.0, Avg: 0.35765500593975175, Corpus score: 0.3985125503563681
../predictions/gector+norvig/longsentence_norvig+gector.txt: Min: 0.3724137931034483, Max: 0.9523809523809523, Avg: 0.5854712534658721, Corpus score: 0.5665991756453829
../predictions/gector+norvig/medium_norvig+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.6301417145616313, Corpus score: 0.6382026403018521
../predictions/gector+norvig/light_norvig+gector.txt: Min: 0.0, Max: 1.0, Avg: 0.7588016667973156, Corpus score: 0.7682188341997833
../predictions/gector_only_BERT/longsentence_gectorBERT.txt: Min: 0.25668449197860965, Max: 0.819047619047619, Avg: 0.5409352369827578, Corpus score: 0.5137813788613181
../predictions/gector_only_BERT/medium_gectorBERT.txt: Min: 0.0, Max: 1.0, Avg: 0.644367926250089, Corpus score: 0.6304978155376498
../predictions/gector_only_BERT/light_gectorBERT.txt: Min: 0.0, Max: 1.0, Avg: 0.7208327150285664, Corpus score: 0.7067060136121887
../predictions/gector_only_BERT/heavy_gectorBERT.txt: Min: 0.0, Max: 1.0, Avg: 0.5484304906787146, Corpus score: 0.5344591427923502
../predictions/gector_only_BERT/shortsentence_gectorBERT.txt: Min: 0.0, Max: 1.0, Avg: 0.6523382455224243, Corpus score: 0.6596425989050718
